model,sequence_length,users,inference_time
facebook/opt-1.3b,32,8,7.409628452218653
facebook/opt-1.3b,32,16,7.546005496591642
facebook/opt-1.3b,32,32,7.81875958533762
facebook/opt-1.3b,64,8,14.69598033080386
facebook/opt-1.3b,64,16,15.0658594037299
facebook/opt-1.3b,64,32,15.805617549581996
facebook/opt-1.3b,128,8,29.58912351897107
facebook/opt-1.3b,128,16,30.74644607999999
facebook/opt-1.3b,128,32,33.06109120205788
