model,sequence_length,users,inference_time
microsoft/phi-2,32,8,15.024876672411573
microsoft/phi-2,32,16,15.251454221993566
microsoft/phi-2,32,32,15.704609321157553
microsoft/phi-2,64,8,29.762142431897097
microsoft/phi-2,64,16,30.376119924887448
microsoft/phi-2,64,32,31.604074910868164
microsoft/phi-2,128,8,59.76750290726686
microsoft/phi-2,128,16,61.68710924347265
microsoft/phi-2,128,32,65.52632191588424
